"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107660854","1.1.1.1.1","32070","A","","","0"
"2022","Canada","2021A000011124","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107660855","1.1.1.1.2","31211","A","","","0"
"2022","Canada","2021A000011124","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107660856","1.1.1.1.3","1781534","A","","","0"
"2022","Canada","2021A000011124","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107660857","1.1.1.1.4","57100","A","","","0"
"2022","Canada","2021A000011124","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107660858","1.1.1.1.5","43100","A","","","0"
"2022","Atlantic provinces","2021A00011","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107662654","2.1.1.1.1","2119","A","","","0"
"2022","Atlantic provinces","2021A00011","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107662655","2.1.1.1.2","2071","A","","","0"
"2022","Atlantic provinces","2021A00011","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107662656","2.1.1.1.3","101644","A","","","0"
"2022","Atlantic provinces","2021A00011","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107662657","2.1.1.1.4","49100","A","","","0"
"2022","Atlantic provinces","2021A00011","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107662658","2.1.1.1.5","39400","A","","","0"
"2022","Newfoundland and Labrador","2021A000210","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107664454","3.1.1.1.1","451","A","","","0"
"2022","Newfoundland and Labrador","2021A000210","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107664455","3.1.1.1.2","442","A","","","0"
"2022","Newfoundland and Labrador","2021A000210","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107664456","3.1.1.1.3","22567","A","","","0"
"2022","Newfoundland and Labrador","2021A000210","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107664457","3.1.1.1.4","51100","A","","","0"
"2022","Newfoundland and Labrador","2021A000210","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107664458","3.1.1.1.5","39100","A","","","0"
"2022","Prince Edward Island","2021A000211","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107666254","4.1.1.1.1","141","A","","","0"
"2022","Prince Edward Island","2021A000211","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107666255","4.1.1.1.2","139","A","","","0"
"2022","Prince Edward Island","2021A000211","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107666256","4.1.1.1.3","6714","A","","","0"
"2022","Prince Edward Island","2021A000211","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107666257","4.1.1.1.4","48400","A","","","0"
"2022","Prince Edward Island","2021A000211","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107666258","4.1.1.1.5","40900","A","","","0"
"2022","Nova Scotia","2021A000212","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107668054","5.1.1.1.1","852","A","","","0"
"2022","Nova Scotia","2021A000212","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107668055","5.1.1.1.2","833","A","","","0"
"2022","Nova Scotia","2021A000212","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107668056","5.1.1.1.3","40681","A","","","0"
"2022","Nova Scotia","2021A000212","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107668057","5.1.1.1.4","48800","A","","","0"
