,REF_DATE,GEO,Gender,Indicators,Statistics,VALUE
0,2024-01,Canada (excluding territories),"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,21.7
1,2024-01,Canada (excluding territories),"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,29.8
2,2024-01,Canada (excluding territories),"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,48.6
3,2024-01,Canada (excluding territories),Men,Life satisfaction rating between 0 and 5,Percentage of persons,22.3
4,2024-01,Canada (excluding territories),Men,Life satisfaction rating of 6 or 7,Percentage of persons,29.2
5,2024-01,Canada (excluding territories),Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,48.5
6,2024-01,Canada (excluding territories),Women,Life satisfaction rating between 0 and 5,Percentage of persons,21.0
7,2024-01,Canada (excluding territories),Women,Life satisfaction rating of 6 or 7,Percentage of persons,30.3
8,2024-01,Canada (excluding territories),Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,48.7
9,2024-01,Atlantic Region,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,22.2
10,2024-01,Atlantic Region,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,27.5
11,2024-01,Atlantic Region,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,50.3
12,2024-01,Atlantic Region,Men,Life satisfaction rating between 0 and 5,Percentage of persons,20.7
13,2024-01,Atlantic Region,Men,Life satisfaction rating of 6 or 7,Percentage of persons,29.2
14,2024-01,Atlantic Region,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,50.0
15,2024-01,Atlantic Region,Women,Life satisfaction rating between 0 and 5,Percentage of persons,23.6
16,2024-01,Atlantic Region,Women,Life satisfaction rating of 6 or 7,Percentage of persons,25.8
17,2024-01,Atlantic Region,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,50.7
18,2024-01,Newfoundland and Labrador,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,20.7
19,2024-01,Newfoundland and Labrador,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,26.4
20,2024-01,Newfoundland and Labrador,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.9
21,2024-01,Newfoundland and Labrador,Men,Life satisfaction rating between 0 and 5,Percentage of persons,19.2
22,2024-01,Newfoundland and Labrador,Men,Life satisfaction rating of 6 or 7,Percentage of persons,27.6
23,2024-01,Newfoundland and Labrador,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,53.2
24,2024-01,Newfoundland and Labrador,Women,Life satisfaction rating between 0 and 5,Percentage of persons,22.2
25,2024-01,Newfoundland and Labrador,Women,Life satisfaction rating of 6 or 7,Percentage of persons,25.2
26,2024-01,Newfoundland and Labrador,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.6
27,2024-01,Prince Edward Island,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,23.0
28,2024-01,Prince Edward Island,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,30.2
29,2024-01,Prince Edward Island,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,46.8
30,2024-01,Prince Edward Island,Men,Life satisfaction rating between 0 and 5,Percentage of persons,22.1
31,2024-01,Prince Edward Island,Men,Life satisfaction rating of 6 or 7,Percentage of persons,33.8
32,2024-01,Prince Edward Island,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,44.0
33,2024-01,Prince Edward Island,Women,Life satisfaction rating between 0 and 5,Percentage of persons,23.8
34,2024-01,Prince Edward Island,Women,Life satisfaction rating of 6 or 7,Percentage of persons,26.6
35,2024-01,Prince Edward Island,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,49.6
36,2024-01,Nova Scotia,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,24.2
37,2024-01,Nova Scotia,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,27.9
38,2024-01,Nova Scotia,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,47.9
39,2024-01,Nova Scotia,Men,Life satisfaction rating between 0 and 5,Percentage of persons,22.7
40,2024-01,Nova Scotia,Men,Life satisfaction rating of 6 or 7,Percentage of persons,30.9
41,2024-01,Nova Scotia,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,46.4
42,2024-01,Nova Scotia,Women,Life satisfaction rating between 0 and 5,Percentage of persons,25.7
43,2024-01,Nova Scotia,Women,Life satisfaction rating of 6 or 7,Percentage of persons,25.1
44,2024-01,Nova Scotia,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,49.2
45,2024-01,New Brunswick,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,20.3
46,2024-01,New Brunswick,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,27.1
