"REF_DATE","GEO","DGUID","Gender","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-04","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating between 0 and 5","Percentage of persons","Percent","239","units","0","v1331433830","1.1.1.1","27.4","","","","1"
"2021-07","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating between 0 and 5","Percentage of persons","Percent","239","units","0","v1331433830","1.1.1.1","17.3","","","","1"
"2021-10","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating between 0 and 5","Percentage of persons","Percent","239","units","0","v1331433830","1.1.1.1","19.2","","","","1"
"2022-01","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating between 0 and 5","Percentage of persons","Percent","239","units","0","v1331433830","1.1.1.1","19.4","","","","1"
"2022-04","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating between 0 and 5","Percentage of persons","Percent","239","units","0","v1331433830","1.1.1.1","19.2","","","","1"
"2022-07","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating between 0 and 5","Percentage of persons","Percent","239","units","0","v1331433830","1.1.1.1","16.6","","","","1"
"2022-10","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating between 0 and 5","Percentage of persons","Percent","239","units","0","v1331433830","1.1.1.1","23.9","","","","1"
"2023-04","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating between 0 and 5","Percentage of persons","Percent","239","units","0","v1331433830","1.1.1.1","20.1","","","","1"
"2023-07","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating between 0 and 5","Percentage of persons","Percent","239","units","0","v1331433830","1.1.1.1","20.3","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating between 0 and 5","Percentage of persons","Percent","239","units","0","v1331433830","1.1.1.1","24.1","","","","1"
"2021-04","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating of 6 or 7","Percentage of persons","Percent","239","units","0","v1331433839","1.1.2.1","30.6","","","","1"
"2021-07","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating of 6 or 7","Percentage of persons","Percent","239","units","0","v1331433839","1.1.2.1","28.5","","","","1"
"2021-10","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating of 6 or 7","Percentage of persons","Percent","239","units","0","v1331433839","1.1.2.1","28.7","","","","1"
"2022-01","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating of 6 or 7","Percentage of persons","Percent","239","units","0","v1331433839","1.1.2.1","28.9","","","","1"
"2022-04","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating of 6 or 7","Percentage of persons","Percent","239","units","0","v1331433839","1.1.2.1","29.5","","","","1"
"2022-07","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating of 6 or 7","Percentage of persons","Percent","239","units","0","v1331433839","1.1.2.1","28.0","","","","1"
"2022-10","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating of 6 or 7","Percentage of persons","Percent","239","units","0","v1331433839","1.1.2.1","30.4","","","","1"
"2023-04","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating of 6 or 7","Percentage of persons","Percent","239","units","0","v1331433839","1.1.2.1","28.5","","","","1"
"2023-07","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating of 6 or 7","Percentage of persons","Percent","239","units","0","v1331433839","1.1.2.1","29.1","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating of 6 or 7","Percentage of persons","Percent","239","units","0","v1331433839","1.1.2.1","28.3","","","","1"
"2021-04","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating of 8, 9 or 10","Percentage of persons","Percent","239","units","0","v1331433848","1.1.3.1","42.0","","","","1"
"2021-07","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating of 8, 9 or 10","Percentage of persons","Percent","239","units","0","v1331433848","1.1.3.1","54.2","","","","1"
"2021-10","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating of 8, 9 or 10","Percentage of persons","Percent","239","units","0","v1331433848","1.1.3.1","52.1","","","","1"
"2022-01","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating of 8, 9 or 10","Percentage of persons","Percent","239","units","0","v1331433848","1.1.3.1","51.7","","","","1"
"2022-04","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating of 8, 9 or 10","Percentage of persons","Percent","239","units","0","v1331433848","1.1.3.1","51.4","","","","1"
"2022-07","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating of 8, 9 or 10","Percentage of persons","Percent","239","units","0","v1331433848","1.1.3.1","55.4","","","","1"
"2022-10","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating of 8, 9 or 10","Percentage of persons","Percent","239","units","0","v1331433848","1.1.3.1","45.8","","","","1"
