,REF_DATE,GEO,Gender,Indicators,Statistics,VALUE
0,2021-04,Canada (excluding territories),"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,27.4
1,2021-07,Canada (excluding territories),"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,17.3
2,2021-10,Canada (excluding territories),"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,19.2
3,2022-01,Canada (excluding territories),"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,19.4
4,2022-04,Canada (excluding territories),"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,19.2
5,2022-07,Canada (excluding territories),"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,16.6
6,2022-10,Canada (excluding territories),"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,23.9
7,2023-04,Canada (excluding territories),"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,20.1
8,2023-07,Canada (excluding territories),"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,20.3
9,2023-10,Canada (excluding territories),"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,24.1
10,2021-04,Canada (excluding territories),"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,30.6
11,2021-07,Canada (excluding territories),"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,28.5
12,2021-10,Canada (excluding territories),"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,28.7
13,2022-01,Canada (excluding territories),"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,28.9
14,2022-04,Canada (excluding territories),"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,29.5
15,2022-07,Canada (excluding territories),"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,28.0
16,2022-10,Canada (excluding territories),"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,30.4
17,2023-04,Canada (excluding territories),"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,28.5
18,2023-07,Canada (excluding territories),"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,29.1
19,2023-10,Canada (excluding territories),"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,28.3
20,2021-04,Canada (excluding territories),"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,42.0
