"REF_DATE","GEO","DGUID","Gender","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating between 0 and 5","Percentage of persons","Percent","239","units","0","v1331433830","1.1.1.1","21.7","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating of 6 or 7","Percentage of persons","Percent","239","units","0","v1331433839","1.1.2.1","29.8","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Life satisfaction rating of 8, 9 or 10","Percentage of persons","Percent","239","units","0","v1331433848","1.1.3.1","48.6","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Men","Life satisfaction rating between 0 and 5","Percentage of persons","Percent","239","units","0","v1331433866","1.2.1.1","22.3","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Men","Life satisfaction rating of 6 or 7","Percentage of persons","Percent","239","units","0","v1331433875","1.2.2.1","29.2","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Men","Life satisfaction rating of 8, 9 or 10","Percentage of persons","Percent","239","units","0","v1331433884","1.2.3.1","48.5","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Women","Life satisfaction rating between 0 and 5","Percentage of persons","Percent","239","units","0","v1331433902","1.3.1.1","21.0","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Women","Life satisfaction rating of 6 or 7","Percentage of persons","Percent","239","units","0","v1331433911","1.3.2.1","30.3","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Women","Life satisfaction rating of 8, 9 or 10","Percentage of persons","Percent","239","units","0","v1331433920","1.3.3.1","48.7","","","","1"
"2024-01","Atlantic Region","2021A00011","Total, all persons","Life satisfaction rating between 0 and 5","Percentage of persons","Percent","239","units","0","v1331433938","2.1.1.1","22.2","","","","1"
"2024-01","Atlantic Region","2021A00011","Total, all persons","Life satisfaction rating of 6 or 7","Percentage of persons","Percent","239","units","0","v1331433947","2.1.2.1","27.5","","","","1"
"2024-01","Atlantic Region","2021A00011","Total, all persons","Life satisfaction rating of 8, 9 or 10","Percentage of persons","Percent","239","units","0","v1331433956","2.1.3.1","50.3","","","","1"
"2024-01","Atlantic Region","2021A00011","Men","Life satisfaction rating between 0 and 5","Percentage of persons","Percent","239","units","0","v1331433974","2.2.1.1","20.7","","","","1"
"2024-01","Atlantic Region","2021A00011","Men","Life satisfaction rating of 6 or 7","Percentage of persons","Percent","239","units","0","v1331433983","2.2.2.1","29.2","","","","1"
"2024-01","Atlantic Region","2021A00011","Men","Life satisfaction rating of 8, 9 or 10","Percentage of persons","Percent","239","units","0","v1331433992","2.2.3.1","50.0","","","","1"
"2024-01","Atlantic Region","2021A00011","Women","Life satisfaction rating between 0 and 5","Percentage of persons","Percent","239","units","0","v1331434010","2.3.1.1","23.6","","","","1"
"2024-01","Atlantic Region","2021A00011","Women","Life satisfaction rating of 6 or 7","Percentage of persons","Percent","239","units","0","v1331434019","2.3.2.1","25.8","","","","1"
"2024-01","Atlantic Region","2021A00011","Women","Life satisfaction rating of 8, 9 or 10","Percentage of persons","Percent","239","units","0","v1331434028","2.3.3.1","50.7","","","","1"
"2024-01","Newfoundland and Labrador","2021A000210","Total, all persons","Life satisfaction rating between 0 and 5","Percentage of persons","Percent","239","units","0","v1331434046","3.1.1.1","20.7","","","","1"
"2024-01","Newfoundland and Labrador","2021A000210","Total, all persons","Life satisfaction rating of 6 or 7","Percentage of persons","Percent","239","units","0","v1331434055","3.1.2.1","26.4","","","","1"
"2024-01","Newfoundland and Labrador","2021A000210","Total, all persons","Life satisfaction rating of 8, 9 or 10","Percentage of persons","Percent","239","units","0","v1331434064","3.1.3.1","52.9","","","","1"
"2024-01","Newfoundland and Labrador","2021A000210","Men","Life satisfaction rating between 0 and 5","Percentage of persons","Percent","239","units","0","v1331434082","3.2.1.1","19.2","","","","1"
"2024-01","Newfoundland and Labrador","2021A000210","Men","Life satisfaction rating of 6 or 7","Percentage of persons","Percent","239","units","0","v1331434091","3.2.2.1","27.6","","","","1"
"2024-01","Newfoundland and Labrador","2021A000210","Men","Life satisfaction rating of 8, 9 or 10","Percentage of persons","Percent","239","units","0","v1331434100","3.2.3.1","53.2","","","","1"
"2024-01","Newfoundland and Labrador","2021A000210","Women","Life satisfaction rating between 0 and 5","Percentage of persons","Percent","239","units","0","v1331434118","3.3.1.1","22.2","","","","1"
"2024-01","Newfoundland and Labrador","2021A000210","Women","Life satisfaction rating of 6 or 7","Percentage of persons","Percent","239","units","0","v1331434127","3.3.2.1","25.2","","","","1"
"2024-01","Newfoundland and Labrador","2021A000210","Women","Life satisfaction rating of 8, 9 or 10","Percentage of persons","Percent","239","units","0","v1331434136","3.3.3.1","52.6","","","","1"
"2024-01","Prince Edward Island","2021A000211","Total, all persons","Life satisfaction rating between 0 and 5","Percentage of persons","Percent","239","units","0","v1331434154","4.1.1.1","23.0","","","","1"
"2024-01","Prince Edward Island","2021A000211","Total, all persons","Life satisfaction rating of 6 or 7","Percentage of persons","Percent","239","units","0","v1331434163","4.1.2.1","30.2","","","","1"
"2024-01","Prince Edward Island","2021A000211","Total, all persons","Life satisfaction rating of 8, 9 or 10","Percentage of persons","Percent","239","units","0","v1331434172","4.1.3.1","46.8","","","","1"
"2024-01","Prince Edward Island","2021A000211","Men","Life satisfaction rating between 0 and 5","Percentage of persons","Percent","239","units","0","v1331434190","4.2.1.1","22.1","","","","1"
